customer_id,age,gender,region,education_level,employment_type,annual_income,join_date,default_flag
CUST1031,33.0,Male,West,Graduate,Self-Employed,818021.54,2023/08/16,1
CUST1032,32.0,Female,East,Secondary,Self-Employed,,2019/09/29,1
CUST1033,20.0,Male,South,Graduate,Self-Employed,966577.93,2018/11/10,1
CUST1034,54.0,,East,Graduate,Salaried,539090.43,2019/07/19,0
CUST1035,24.0,Male,South,Graduate,Salaried,1130362.72,2022/05/21,1
CUST1036,,Female,East,Secondary,Salaried,333883.29,2020/04/05,0
CUST1037,26.0,Male,East,Graduate,Salaried,750387.02,2024/12/28,0
CUST1038,56.0,Male,East,Graduate,Self-Employed,2033454.37,2021/01/10,0
CUST1039,35.0,Male,West,Post-Graduate,,403791.28,2020/10/22,0
CUST1040,21.0,Female,West,Graduate,Unemployed,482181.5,2024/03/01,0
CUST1041,42.0,Female,North,Graduate,Salaried,928647.9,2019/10/24,1
CUST1042,31.0,Male,North,Post-Graduate,Self-Employed,772668.66,2020/03/15,0
CUST1043,26.0,Male,South,Secondary,Salaried,848887.69,2024/09/17,0
CUST1044,43.0,Female,West,Post-Graduate,Self-Employed,916107.08,2019/06/20,0
CUST1045,19.0,Male,South,Graduate,Unemployed,992450.51,2021/10/23,0
CUST1046,37.0,Female,North,Secondary,Salaried,1288733.52,2021/05/20,0
CUST1047,45.0,Female,South,Graduate,Salaried,876976.85,2025/03/09,0
CUST1048,24.0,Male,North,Graduate,Self-Employed,613014.52,2025/09/11,0
CUST1049,25.0,Male,West,Secondary,Salaried,1013328.64,2023/04/05,0
CUST1050,52.0,Other,East,Graduate,Salaried,1990249.72,2023/12/05,0
CUST1051,,Male,West,Graduate,Salaried,650754.05,2019/09/20,0
CUST1052,,Male,South,Graduate,Salaried,409562.38,2020/01/19,0
CUST1053,53.0,Female,South,Secondary,Salaried,1286878.38,2018/04/15,0
CUST1054,57.0,Female,West,Post-Graduate,Salaried,655154.24,2024/12/17,0
CUST1055,21.0,Other,West,Post-Graduate,Salaried,211899.5,2018/02/15,0
CUST1056,19.0,Female,North,Post-Graduate,Salaried,1115616.29,2025/11/10,0
CUST1057,23.0,Male,South,Graduate,Unemployed,521469.0,2021/09/16,1
CUST1058,59.0,Male,South,Secondary,Salaried,665998.24,2021/05/24,0
CUST1059,21.0,Female,West,Graduate,Unemployed,,2020/09/08,1
CUST1060,46.0,Female,East,Secondary,Salaried,777322.37,2020/08/17,1
CUST1061,35.0,Male,South,Secondary,Salaried,1034091.8,2022/02/24,0
CUST1062,43.0,Female,East,Graduate,Salaried,550905.25,2023/01/11,0
CUST1063,51.0,Male,West,Graduate,Salaried,928238.33,2025/12/02,0
CUST1064,27.0,Female,West,Graduate,Salaried,606879.14,2024/11/01,1
CUST1065,53.0,Male,North,Graduate,Salaried,1050925.1,2025/01/27,0
CUST1066,31.0,Male,South,Graduate,Salaried,981942.2,2025/01/02,0
CUST1067,48.0,Male,East,Secondary,Salaried,418463.24,2022/01/21,0
CUST1068,32.0,Male,North,Post-Graduate,Self-Employed,1272031.49,2022/04/09,1
CUST1069,25.0,Male,South,Graduate,Salaried,,2025/01/31,0
CUST1070,31.0,Female,North,Graduate,Salaried,1091722.63,2022/02/16,0
CUST1071,40.0,Female,West,Secondary,Self-Employed,856700.48,2023/08/26,0
CUST1072,57.0,Female,South,Graduate,Salaried,1923845.56,2023/06/24,0
CUST1073,38.0,Other,North,Graduate,Salaried,619042.57,2024/04/09,0
CUST1074,33.0,Male,North,Secondary,Unemployed,577643.04,2023/05/28,0
CUST1075,35.0,,East,Secondary,Salaried,692563.24,2020/06/30,0
CUST1076,41.0,Female,North,Graduate,Self-Employed,592488.49,2021/07/18,0
CUST1077,43.0,Male,South,Graduate,Unemployed,1086860.32,2025/09/09,1
CUST1078,42.0,Other,South,Secondary,Salaried,287755.02,2022/12/08,0
CUST1079,58.0,Male,East,Post-Graduate,Salaried,392114.94,2025/07/15,1
CUST1080,46.0,Other,South,Secondary,Salaried,389081.46,2022/10/20,0
CUST1081,32.0,Male,West,Graduate,Salaried,1180566.29,2018/04/25,1
CUST1082,18.0,Female,South,Post-Graduate,,1793488.15,2022/05/23,1
CUST1083,42.0,Female,South,Graduate,Self-Employed,660920.3,2021/08/15,0
CUST1084,24.0,Other,North,Graduate,Salaried,637929.89,2023/02/04,0
CUST1085,26.0,Male,North,Graduate,Salaried,727496.38,2024/09/10,0
CUST1086,41.0,Female,South,Secondary,Unemployed,1326253.6,2024/09/07,0
CUST1087,18.0,Other,East,Post-Graduate,Self-Employed,420328.32,2021/01/03,0
CUST1088,25.0,Female,North,Graduate,Salaried,798059.6,2020/09/04,0
CUST1089,41.0,Female,East,Post-Graduate,Salaried,1196838.81,2022/02/14,0
CUST1090,28.0,Female,South,Secondary,Salaried,922126.24,2021/01/31,0
CUST1091,34.0,Male,South,Secondary,Salaried,776929.98,2018/10/24,0
CUST1092,25.0,Female,West,Secondary,Salaried,1213975.37,2024/02/04,0
CUST1093,52.0,Female,North,Graduate,Salaried,158270.02,2024/06/20,0
CUST1094,52.0,Female,South,Graduate,Self-Employed,1016287.7,2020/11/28,1
CUST1095,50.0,Male,West,Post-Graduate,Salaried,,2018/09/16,0
CUST1096,22.0,Male,North,Graduate,Salaried,255758.14,2023/08/17,0
CUST1097,59.0,Female,South,Post-Graduate,Salaried,927267.2,2023/09/28,0
CUST1098,56.0,Female,South,Secondary,Salaried,1490091.1,2024/01/18,0
CUST1099,58.0,Male,North,Post-Graduate,Self-Employed,649033.06,2023/03/08,1
CUST1100,45.0,Female,North,Graduate,Self-Employed,1182234.22,2018/06/25,1
CUST1101,24.0,Male,North,Graduate,Self-Employed,1699065.0,2020/09/27,0
CUST1102,26.0,,South,Post-Graduate,Salaried,1442716.8,2023/04/03,0
CUST1103,25.0,,South,Graduate,Salaried,1725135.41,2024/11/07,1
CUST1104,29.0,Male,West,Graduate,Salaried,1052844.11,2022/07/26,0
CUST1105,51.0,Female,East,Secondary,Salaried,729652.82,2018/10/03,0
CUST1106,50.0,Male,North,Secondary,Salaried,290034.28,2024/12/20,1
CUST1107,40.0,Other,South,Post-Graduate,Self-Employed,611396.67,2019/11/07,0
CUST1108,41.0,Other,South,Graduate,,440228.85,2022/12/29,0
CUST1109,54.0,Female,North,Graduate,Salaried,2310221.83,2020/11/17,1
CUST1110,52.0,Female,East,Graduate,Salaried,635456.18,2021/09/18,0
CUST1111,57.0,Male,North,Secondary,Salaried,10000000.0,2023/10/05,0
CUST1112,39.0,Female,East,Secondary,Salaried,,2019/07/01,0
CUST1113,44.0,Female,South,Graduate,Unemployed,716989.85,2021/02/09,0
CUST1114,52.0,Male,East,Graduate,Self-Employed,1778202.69,2023/09/15,1
CUST1115,18.0,Female,West,Secondary,Unemployed,497016.48,2023/08/03,0
CUST1116,52.0,Female,South,Graduate,Salaried,779080.54,2019/03/15,0
CUST1117,54.0,Female,West,Secondary,Salaried,,2022/10/19,0
CUST1118,31.0,Female,North,Graduate,Salaried,338684.15,2022/06/04,1
CUST1119,20.0,Female,North,Secondary,Salaried,499999.62,2023/01/24,0
CUST1120,18.0,Male,North,Graduate,Self-Employed,685885.08,2025/03/27,0
CUST1121,22.0,Female,East,Graduate,Salaried,552782.22,2022/05/20,0
CUST1122,43.0,Female,South,Graduate,Salaried,478305.09,2022/07/22,1
CUST1123,31.0,Male,North,Secondary,Salaried,322984.95,2018/11/03,0
CUST1124,56.0,Male,North,Secondary,Salaried,668724.57,2019/09/11,0
CUST1125,44.0,Male,South,Graduate,Self-Employed,,2021/02/06,0
CUST1126,26.0,Female,North,Graduate,,1063277.2,2021/10/27,0
CUST1127,32.0,Other,West,Graduate,Salaried,732469.86,2024/08/01,0
CUST1128,32.0,Male,South,Secondary,Salaried,314010.68,2024/02/07,0
CUST1129,43.0,Female,South,Graduate,Salaried,590526.99,2021/10/11,0
CUST1130,59.0,Male,South,Post-Graduate,Self-Employed,462845.97,2022/08/27,0
CUST1131,30.0,Other,West,Graduate,Self-Employed,834327.75,2023/10/17,0
CUST1132,49.0,Female,South,Secondary,Unemployed,1463122.43,2024/05/28,1
CUST1133,56.0,,West,Graduate,Self-Employed,249569.01,2025/07/02,0
CUST1134,49.0,Male,South,Secondary,Salaried,745715.89,2018/06/30,0
CUST1135,21.0,Male,East,Secondary,Self-Employed,640985.8,2024/10/17,0
CUST1136,47.0,Male,North,Post-Graduate,Salaried,1012641.33,2022/01/27,0
CUST1137,54.0,Male,East,Secondary,Salaried,787086.76,2020/07/02,0
CUST1138,40.0,Female,North,Graduate,Self-Employed,462893.59,2022/04/07,0
CUST1139,56.0,Female,West,Graduate,Salaried,587338.12,2023/10/15,1
CUST1140,32.0,Other,East,Graduate,Unemployed,451811.98,2020/11/10,1
CUST1141,60.0,Other,South,Graduate,Salaried,1265071.93,2022/06/24,1
CUST1142,46.0,Female,North,Secondary,Salaried,,2024/08/28,1
CUST1143,53.0,,North,Graduate,Self-Employed,1991682.85,2022/06/27,0
CUST1144,30.0,Female,East,Graduate,Self-Employed,677030.88,2022/05/02,0
CUST1145,49.0,Female,West,Secondary,Salaried,474118.18,2023/09/18,0
CUST1146,24.0,Male,East,Graduate,Salaried,304459.3,2021/08/01,1
CUST1147,,Male,West,Secondary,Salaried,,2020/04/01,1
CUST1148,45.0,Male,West,Secondary,Salaried,292892.48,2019/08/25,0
CUST1149,19.0,Female,North,Graduate,Salaried,810782.63,2022/06/09,0
CUST1150,59.0,Female,East,Secondary,Self-Employed,,2020/02/24,1
CUST1151,23.0,Male,East,Graduate,Salaried,12000000.0,2021/04/26,0
CUST1152,45.0,,West,Graduate,Self-Employed,1145219.28,2019/11/02,0
CUST1153,45.0,Female,East,Post-Graduate,Salaried,536677.18,2021/06/20,0
CUST1154,,Male,South,Secondary,Salaried,758859.38,2021/01/01,0
CUST1155,47.0,Male,South,Secondary,Self-Employed,1699011.14,2024/12/01,0
CUST1156,28.0,Female,East,Secondary,Salaried,1146354.24,2023/06/21,0
CUST1157,45.0,Female,East,Graduate,Salaried,603887.84,2025/02/21,0
CUST1158,42.0,Female,West,Graduate,Salaried,428771.7,2018/04/11,1
CUST1159,56.0,Female,South,Secondary,Unemployed,214343.93,2025/01/05,0
CUST1160,50.0,Female,South,Post-Graduate,Self-Employed,471324.12,2022/11/15,1
CUST1161,18.0,Female,North,Secondary,Salaried,623256.84,2018/06/25,0
CUST1162,44.0,Female,West,Graduate,,406722.69,2018/08/26,0
CUST1163,30.0,Female,North,Graduate,Salaried,651247.01,2021/01/27,1
CUST1164,58.0,Male,South,Post-Graduate,Self-Employed,730222.2,2025/12/28,1
CUST1165,20.0,Male,West,Graduate,Self-Employed,618569.49,2023/06/01,0
CUST1166,56.0,Male,East,Post-Graduate,Salaried,489595.19,2024/12/17,0
CUST1167,,Female,West,Graduate,Salaried,768038.92,2023/06/27,0
CUST1168,25.0,Female,East,Post-Graduate,Salaried,,2022/03/18,0
CUST1169,44.0,Female,East,Secondary,Self-Employed,384275.92,2020/01/25,0
CUST1170,26.0,Male,West,Post-Graduate,Self-Employed,1520954.15,2024/03/08,0
CUST1171,54.0,Male,East,Graduate,Salaried,663054.28,2021/02/20,0
CUST1172,50.0,,North,Post-Graduate,Salaried,707294.85,2021/11/12,0
CUST1173,59.0,Male,South,Graduate,Salaried,1033388.27,2018/05/20,0
CUST1174,41.0,Female,East,Graduate,Unemployed,795801.04,2019/06/25,1
CUST1175,32.0,Male,North,Graduate,Salaried,1182404.65,2021/11/15,0
CUST1176,,Male,East,Graduate,Self-Employed,819749.35,2018/09/27,0
CUST1177,49.0,,South,Secondary,Salaried,499815.87,2020/11/01,1
CUST1178,41.0,Male,North,Secondary,Salaried,853979.57,2023/03/06,0
CUST1179,58.0,Female,South,Secondary,Salaried,373168.82,2019/05/21,1
CUST1180,29.0,Female,South,Secondary,Salaried,743068.45,2021/02/03,0
CUST1181,56.0,Male,North,Post-Graduate,Salaried,687322.66,2023/09/11,0
CUST1182,19.0,Female,North,Secondary,Self-Employed,624290.66,2023/02/16,1
CUST1183,,Female,North,Post-Graduate,Salaried,652221.81,2020/12/28,1
CUST1184,54.0,Female,West,Graduate,Salaried,248654.25,2020/03/23,1
CUST1185,34.0,Male,North,Secondary,Salaried,517640.84,2018/12/28,0
CUST1186,19.0,Female,North,Graduate,,736673.68,2021/12/27,1
CUST1187,19.0,Female,North,Graduate,Self-Employed,764331.31,2020/07/17,0
CUST1188,45.0,Male,North,Graduate,Salaried,,2018/04/10,1
CUST1189,40.0,Male,East,Graduate,Unemployed,1404195.26,2022/08/09,0
CUST1190,,Other,West,Graduate,Salaried,434712.19,2023/08/19,0
CUST1191,49.0,Female,South,Secondary,Salaried,1193066.06,2025/07/07,0
CUST1192,50.0,Male,North,Post-Graduate,Self-Employed,885397.98,2020/11/18,1
CUST1193,18.0,Female,East,Post-Graduate,Self-Employed,490612.85,2024/11/14,0
CUST1194,36.0,Male,East,Graduate,Self-Employed,1858456.02,2020/07/09,0
CUST1195,19.0,Male,East,Secondary,Salaried,363064.35,2024/09/03,1
CUST1196,43.0,Male,South,Graduate,Salaried,1160510.33,2019/09/24,0
CUST1197,49.0,Male,North,Secondary,Unemployed,1213665.76,2019/11/13,1
CUST1198,23.0,Male,West,Secondary,Salaried,484074.69,2024/01/14,0
CUST1199,49.0,Male,West,Secondary,Salaried,1505584.16,2024/07/10,0
CUST1200,21.0,Female,East,Graduate,,610058.44,2024/04/26,0
CUST1201,28.0,Male,South,Post-Graduate,Salaried,820457.27,2023/10/31,0
CUST1202,34.0,Male,South,Graduate,Salaried,807753.83,2020/01/24,1
CUST1203,55.0,Female,South,Graduate,Unemployed,650154.83,2022/01/04,1
CUST1204,41.0,Male,West,Graduate,Salaried,1093375.4,2019/12/21,0
CUST1205,22.0,Female,East,Graduate,Salaried,1083009.62,2018/03/16,1
CUST1206,51.0,Male,North,Graduate,Salaried,267571.75,2021/07/17,1
CUST1207,23.0,Male,West,Post-Graduate,Self-Employed,1434350.58,2023/04/07,0
CUST1208,39.0,Male,East,Secondary,Salaried,280538.16,2025/04/27,0
CUST1209,28.0,Male,East,Post-Graduate,Salaried,1235190.82,2018/03/03,0
CUST1210,33.0,Male,North,Graduate,Self-Employed,1300843.48,2020/05/23,1
CUST1211,50.0,Male,North,Graduate,Self-Employed,384156.03,2018/11/16,0
CUST1212,26.0,Male,North,Graduate,Self-Employed,558431.79,2023/11/20,0
CUST1213,23.0,Male,South,Graduate,Unemployed,381054.64,2021/12/23,0
CUST1214,33.0,Male,North,Post-Graduate,Salaried,621958.75,2020/05/23,0
CUST1215,46.0,Male,East,Post-Graduate,Self-Employed,590908.67,2022/10/12,0
CUST1216,20.0,Male,North,Graduate,Salaried,1074804.03,2024/04/21,0
CUST1217,37.0,Female,East,Secondary,Self-Employed,1439066.83,2022/04/05,0
CUST1218,53.0,Female,West,Graduate,Self-Employed,1508251.68,2025/03/02,0
CUST1219,36.0,Male,South,Post-Graduate,Self-Employed,513827.66,2018/04/22,0
CUST1220,43.0,Female,West,Secondary,Self-Employed,623911.36,2019/04/06,0
CUST1221,20.0,Female,West,Graduate,Salaried,277324.79,2025/07/18,0
CUST1222,36.0,Male,East,Graduate,Salaried,449372.34,2020/06/05,0
CUST1223,37.0,Female,West,Graduate,Unemployed,1190047.78,2021/01/20,0
CUST1224,49.0,Female,East,Secondary,Unemployed,1702155.87,2020/12/11,0
CUST1225,24.0,Male,North,Graduate,Salaried,355025.09,2019/06/04,0
CUST1226,58.0,Male,North,Post-Graduate,Salaried,505336.73,2020/03/22,1
CUST1227,50.0,Female,East,Secondary,Salaried,689907.25,2024/04/02,0
CUST1228,57.0,Female,North,Secondary,Self-Employed,816616.0,2023/04/09,0
CUST1229,56.0,Male,South,Post-Graduate,Self-Employed,448450.54,2022/05/24,0
CUST1230,35.0,,West,Secondary,Salaried,883873.46,2020/07/15,0
CUST1231,57.0,Male,South,Post-Graduate,Salaried,539406.09,2019/07/11,0
CUST1232,18.0,Female,West,Graduate,Self-Employed,694457.93,2025/05/20,1
CUST1233,28.0,Female,North,Secondary,Self-Employed,945332.46,2024/03/31,1
CUST1234,45.0,Male,South,Post-Graduate,Salaried,702476.95,2020/11/21,0
CUST1235,42.0,Male,North,Graduate,Salaried,550632.76,2019/08/02,1
CUST1236,40.0,Female,West,Graduate,Salaried,659047.06,2019/06/26,1
CUST1237,48.0,Male,East,Graduate,,666793.7,2023/12/02,0
CUST1238,47.0,Male,East,Graduate,Salaried,571105.68,2024/03/01,0
CUST1239,,Female,South,Secondary,Self-Employed,607129.74,2020/11/18,0
CUST1240,52.0,Female,North,Graduate,Self-Employed,1686374.57,2025/05/14,0
CUST1241,24.0,Female,North,Post-Graduate,Salaried,952972.49,2019/04/19,0
CUST1242,33.0,Female,South,Secondary,Self-Employed,595002.83,2025/07/07,1
CUST1243,43.0,Male,East,Graduate,Salaried,1027008.26,2024/04/19,0
CUST1244,19.0,Male,West,Graduate,Salaried,582587.63,2020/06/23,1
CUST1245,18.0,Female,South,Graduate,Salaried,,2023/04/30,0
CUST1246,29.0,Male,West,Secondary,Salaried,857810.78,2019/01/21,0
CUST1247,22.0,Male,East,Post-Graduate,Self-Employed,659884.06,2018/03/03,1
CUST1248,54.0,Male,North,Graduate,Unemployed,895448.44,2019/05/30,0
CUST1249,49.0,Male,East,Secondary,Salaried,295036.32,2019/03/06,0
CUST1250,26.0,Male,South,Secondary,Salaried,376665.76,2019/08/03,0
CUST1251,58.0,Male,North,Secondary,Self-Employed,363006.81,2022/04/10,1
CUST1252,52.0,,South,Graduate,Salaried,757254.23,2021/03/10,0
CUST1253,36.0,Male,South,Graduate,Salaried,1815222.96,2025/08/22,0
CUST1254,33.0,Female,East,Post-Graduate,Self-Employed,2388200.46,2021/08/16,1
CUST1255,20.0,Female,South,Graduate,Salaried,994269.64,2025/06/15,0
CUST1256,37.0,Female,East,Secondary,Salaried,921999.61,2024/06/16,0
CUST1257,41.0,Female,North,Graduate,Salaried,259952.41,2019/04/16,0
CUST1258,50.0,Female,East,Graduate,Self-Employed,,2021/11/17,0
CUST1259,41.0,Male,North,Secondary,Salaried,453864.76,2022/07/24,0
CUST1260,28.0,Female,East,Secondary,Salaried,497509.25,2022/01/08,0
CUST1261,25.0,Female,West,Secondary,Self-Employed,638167.79,2020/03/19,0
CUST1262,53.0,,West,Graduate,Salaried,539925.15,2018/06/21,1
CUST1263,55.0,Male,South,Graduate,Self-Employed,235677.76,2025/03/08,0
CUST1264,57.0,Male,East,Graduate,Salaried,1056198.03,2018/01/31,0
CUST1265,37.0,Male,East,Post-Graduate,Unemployed,388025.74,2018/02/16,1
CUST1266,52.0,Male,North,Post-Graduate,Salaried,798445.02,2018/05/10,0
CUST1267,42.0,Female,South,Graduate,Salaried,2190370.1,2024/07/27,0
CUST1268,,Female,East,Post-Graduate,Salaried,422174.53,2020/09/04,0
CUST1269,,Male,South,Secondary,Salaried,,2022/07/04,0
CUST1270,46.0,Other,West,Secondary,Self-Employed,598111.99,2022/05/24,0
CUST1271,35.0,Female,East,Secondary,Unemployed,1282553.3,2018/02/27,1
CUST1272,35.0,Male,East,Secondary,Salaried,2055288.35,2021/02/03,0
CUST1273,19.0,Male,South,Graduate,Salaried,355963.45,2025/10/30,0
CUST1274,52.0,Male,East,Post-Graduate,,919899.94,2021/09/15,0
CUST1275,33.0,Male,South,Secondary,Self-Employed,541942.32,2020/02/07,0
CUST1276,58.0,Male,East,Secondary,,660375.58,2019/11/14,0
CUST1277,53.0,Male,North,Graduate,Salaried,2997306.04,2023/07/02,1
CUST1278,50.0,Male,South,Post-Graduate,Salaried,306263.75,2024/05/22,1
CUST1279,21.0,Male,East,Graduate,Self-Employed,804834.89,2022/11/26,0
CUST1280,50.0,Female,West,Graduate,Salaried,905340.92,2022/01/17,0
CUST1281,31.0,Male,East,Secondary,Salaried,1271894.52,2020/06/04,1
CUST1282,38.0,Female,West,Secondary,,738758.5,2019/02/01,0
CUST1283,37.0,Male,West,Post-Graduate,Self-Employed,829238.77,2022/03/19,0
CUST1284,25.0,Other,North,Post-Graduate,Salaried,564349.43,2023/09/05,1
CUST1285,24.0,Male,South,Secondary,Salaried,811675.11,2018/11/09,0
CUST1286,20.0,Male,East,Post-Graduate,Salaried,579592.1,2023/12/14,0
CUST1287,34.0,Other,North,Graduate,Salaried,985298.73,2022/05/08,0
CUST1288,50.0,Female,East,Post-Graduate,Salaried,571231.55,2021/05/06,0
CUST1289,29.0,Female,West,Graduate,Salaried,861336.76,2020/03/21,1
CUST1290,39.0,,South,Graduate,Salaried,688823.99,2024/02/14,1
CUST1291,39.0,Male,East,Graduate,Salaried,1300375.01,2025/07/08,0
CUST1292,47.0,Female,East,Graduate,Salaried,680490.45,2025/10/28,0
CUST1293,55.0,Female,West,Secondary,Self-Employed,263990.33,2025/07/26,0
CUST1294,55.0,Female,East,Secondary,Self-Employed,1401274.08,2023/07/26,0
CUST1295,,Female,East,Graduate,Salaried,425356.47,2022/02/16,0
CUST1296,44.0,Male,West,Graduate,Self-Employed,488582.75,2019/03/26,0
CUST1297,44.0,Female,North,Secondary,Salaried,504448.94,2025/01/14,0
CUST1298,51.0,Male,West,Graduate,Salaried,1490730.11,2023/03/10,1
CUST1299,38.0,Male,North,Post-Graduate,Salaried,216255.27,2021/10/09,1
CUST1300,,Male,South,Secondary,Salaried,3000000.0,2025/05/29,0
CUST1301,50.0,Female,North,Graduate,Self-Employed,1251266.58,2019/08/20,1
CUST1302,45.0,Male,North,Graduate,Self-Employed,791446.07,2023/11/18,0
CUST1303,50.0,Male,South,Post-Graduate,Self-Employed,,2019/09/08,0
CUST1304,22.0,Female,North,Secondary,Salaried,5000000.0,2020/08/05,0
CUST1305,36.0,Male,West,Graduate,Salaried,932340.11,2022/05/01,0
CUST1306,,Female,North,Post-Graduate,Salaried,998195.26,2019/07/10,0
CUST1307,52.0,Male,South,Post-Graduate,Salaried,950190.79,2018/10/05,1
CUST1308,34.0,Female,West,Graduate,Salaried,735352.3,2023/07/07,0
CUST1309,45.0,Female,South,Graduate,Salaried,628002.54,2019/05/06,0
CUST1310,,Male,South,Graduate,Salaried,644116.77,2018/09/12,0
CUST1311,46.0,Male,East,Post-Graduate,Salaried,628842.47,2024/08/25,0
CUST1312,23.0,Male,East,Graduate,Self-Employed,1305908.03,2020/06/10,0
CUST1313,52.0,Male,South,Secondary,Unemployed,970233.28,2019/06/26,0
CUST1314,58.0,Other,South,Post-Graduate,Unemployed,150000.0,2021/07/11,1
CUST1315,54.0,Male,South,Graduate,Salaried,1004078.78,2022/06/22,0
CUST1316,41.0,Female,East,Graduate,Salaried,779135.71,2020/04/04,0
CUST1317,46.0,Male,East,Secondary,Salaried,692834.06,2021/09/14,0
CUST1318,48.0,Female,North,Graduate,Self-Employed,565321.83,2018/10/08,0
CUST1319,52.0,Female,North,Graduate,Salaried,,2021/07/22,1
CUST1320,50.0,Female,South,Graduate,Salaried,1178761.85,2020/02/12,0
CUST1321,38.0,Male,West,Secondary,Self-Employed,457601.0,2025/11/30,0
CUST1322,49.0,Male,West,Graduate,,875643.54,2025/07/29,1
CUST1323,40.0,Male,East,Post-Graduate,Salaried,,2018/11/24,1
CUST1324,50.0,Female,East,Secondary,Salaried,327762.86,2024/03/08,0
CUST1325,20.0,Female,East,Post-Graduate,Salaried,495905.74,2025/08/06,0
CUST1326,35.0,Other,South,Graduate,Salaried,1124840.75,2020/07/11,1
CUST1327,42.0,Male,West,Post-Graduate,Salaried,1182397.11,2019/07/06,0
CUST1328,59.0,Female,North,Graduate,Salaried,928227.93,2023/09/05,0
CUST1329,48.0,Female,South,Graduate,Salaried,1043027.71,2023/09/06,0
CUST1330,20.0,Male,North,Graduate,Self-Employed,929808.26,2019/12/03,0
CUST1331,57.0,Male,North,Post-Graduate,Salaried,491895.09,2023/04/04,1
CUST1332,41.0,Female,South,Graduate,Salaried,887703.45,2025/06/22,0
CUST1333,49.0,Female,North,Graduate,Salaried,1087139.89,2024/09/26,1
CUST1334,39.0,Female,West,Graduate,Unemployed,6500000.0,2018/06/16,0
CUST1335,40.0,Male,North,Post-Graduate,Salaried,1346121.39,2018/06/18,0
CUST1336,19.0,Female,West,Graduate,Salaried,1033439.1,2018/08/17,0
CUST1337,44.0,Male,West,Graduate,Self-Employed,849269.74,2023/06/26,1
CUST1338,59.0,Male,West,Graduate,Self-Employed,1261003.32,2019/01/02,0
CUST1339,19.0,Male,East,Post-Graduate,Salaried,689863.42,2019/06/12,0
CUST1340,43.0,Female,North,Secondary,Self-Employed,430974.65,2020/03/01,1
CUST1341,34.0,Female,South,Graduate,Salaried,639952.21,2019/06/08,0
CUST1342,57.0,Female,South,Secondary,Salaried,464696.21,2020/12/31,1
CUST1343,50.0,Male,North,Graduate,Salaried,482862.67,2022/07/27,0
CUST1344,26.0,Female,East,Graduate,Salaried,646514.14,2023/11/24,1
CUST1345,60.0,Male,East,Graduate,Self-Employed,452708.93,2025/08/11,0
CUST1346,56.0,Female,West,Graduate,Salaried,,2023/03/24,0
CUST1347,46.0,Male,North,Graduate,Salaried,247050.38,2021/07/29,0
CUST1348,59.0,Male,North,Graduate,,787128.78,2018/05/13,0
CUST1349,43.0,Male,South,Secondary,Self-Employed,700464.26,2025/01/25,0
